file,system,mos_score,sim_score,cer,sent_acc,prosody_score,weighted_score,is_bad,bad_reason
sample_001,sysA,2.4141719341278076,,1.0,0.0,,1.2071,True,"mos,cer,weighted"
sample_002,sysA,2.3764824867248535,,1.0,0.0,,1.1882,True,"mos,cer,weighted"
sample_003,sysA,1.9897774457931519,,1.0,0.0,,0.9949,True,"mos,cer,weighted"
sample_004,sysA,2.071028709411621,,1.0,0.0,,1.0355,True,"mos,cer,weighted"
sample_005,sysA,2.2862813472747803,,1.0,0.0,,1.1431,True,"mos,cer,weighted"
sample_006,sysA,2.3248581886291504,,1.0,0.0,,1.1624,True,"mos,cer,weighted"
sample_007,sysA,2.385047435760498,,1.0,0.0,,1.1925,True,"mos,cer,weighted"
sample_008,sysA,1.8887099027633667,,1.0,0.0,,0.9444,True,"mos,cer,weighted"
sample_001,sysB,2.4850053787231445,,1.0,0.0,,1.2425,True,"mos,cer,weighted"
sample_002,sysB,2.0779988765716553,,1.0,0.0,,1.039,True,"mos,cer,weighted"
sample_003,sysB,2.094484806060791,,1.0,0.0,,1.0472,True,"mos,cer,weighted"
sample_004,sysB,2.201592445373535,,1.0,0.0,,1.1008,True,"mos,cer,weighted"
sample_005,sysB,2.4105241298675537,,1.0,0.0,,1.2053,True,"mos,cer,weighted"
sample_006,sysB,2.4154069423675537,,1.0,0.0,,1.2077,True,"mos,cer,weighted"
sample_007,sysB,2.324730157852173,,1.0,0.0,,1.1624,True,"mos,cer,weighted"
sample_008,sysB,2.029553174972534,,1.0,0.0,,1.0148,True,"mos,cer,weighted"
